lap,FRA,FIN,KGZ,BLR,DEN,ITA,NED,LTU,BEL,POL,GER,DEN,IRL,USA,LOK,ESP,RUS
1,3,8,16,9,17,13,5,1,14,12,7,11,2,15,10,6,4
2,5,12,16,9,17,13,6,1,14,11,8,10,2,15,7,3,4
3,7,13,16,12,17,14,8,2,10,11,6,9,1,15,5,3,4
4,11,12,16,15,17,13,9,4,7,10,8,6,1,14,5,2,3
5,12,13,16,15,17,14,8,5,6,10,9,7,1,11,4,2,3
6,13,12,17,15,16,14,9,6,5,10,11,8,1,7,4,3,2
7,13,12,17,14,16,15,9,7,5,11,10,8,1,6,3,2,4
8,13,12,17,15,14,16,8,9,5,11,10,7,1,6,3,2,4
9,13,12,17,15,14,16,8,9,5,11,10,7,1,4,2,3,6
10,14,12,16,15,13,17,8,9,5,11,10,7,1,4,2,3,6
11,14,13,15,16,12,17,8,9,6,11,10,7,1,4,2,3,5
12,13,14,15,16,11,17,8,9,6,12,10,7,1,4,2,3,5
13,13,14,15,16,11,17,8,10,6,12,9,7,1,3,2,4,5
14,12,14,15,16,11,17,8,10,6,13,9,7,1,2,4,3,5
15,12,14,15,17,11,16,8,10,7,13,9,6,1,2,4,3,5
16,12,14,15,17,11,16,8,10,7,13,9,6,1,2,4,3,5
17,12,13,15,17,11,16,8,10,7,14,9,6,1,2,4,3,5
18,11,13,15,17,12,16,8,10,7,14,9,5,1,2,4,3,6
19,11,13,15,17,12,16,8,10,7,14,9,4,1,2,5,3,6
20,11,13,14,17,12,16,8,10,7,15,9,4,1,2,6,3,5
21,10,13,14,17,12,16,8,11,7,15,9,4,1,2,6,3,5
22,10,13,14,17,12,16,8,11,7,15,9,4,1,2,6,3,5
23,10,13,14,17,12,16,8,11,7,15,9,4,1,2,6,3,5
24,10,13,14,17,12,16,8,11,7,15,9,4,1,3,6,2,5
25,10,13,14,17,12,16,8,11,7,15,9,4,1,3,6,2,5
26,10,13,14,17,12,16,8,11,7,15,9,4,1,3,6,2,5
27,10,13,14,17,12,16,8,11,6,15,9,4,1,3,7,2,5
28,10,13,14,17,11,16,7,12,6,15,8,4,1,3,9,2,5
29,10,13,14,17,11,16,8,12,6,15,7,4,1,3,9,2,5
30,10,13,14,17,11,16,8,12,7,15,6,4,1,3,9,2,5
31,10,13,14,17,11,16,8,12,7,15,6,3,1,4,9,2,5
32,10,14,13,17,11,16,8,12,7,15,6,2,1,4,9,3,5
